Section,Название игры,Оценка (из 10),Статус,Краткое мнение,Ссылка на рецензию (URL),Обложка (URL)
Пройдённые,A Plague Tale: Innocence,,Пройдена,"Игра бомбезная; финал хороший (у Амисии и Юго всё хорошо); понравился геймплей с управлением крысами.",https://t.me/milariatube/835,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/752590/header.jpg
Пройдённые,Shrek 2 (2004),,Пройдена,"Мы допрошли Шрека 2; ностальгично, вспоминались ключевые моменты и боссы; было прикольненько поностальгировать.",https://t.me/milariatube/843,https://upload.wikimedia.org/wikipedia/en/thumb/8/82/Shrek2gc.jpg/500px-Shrek2gc.jpg
Пройдённые,The Last Campfire,9,Пройдена,"Безумно милая игрушка про маленьких угольков и надежду; испытания и загадки возвращают веру каждому герою; змея — образ страха, лесной король — маска удобной стагнации; финал мотивирует: даже один человек может вернуть надежду. 9/10 (9.7 часов, все достижения).",https://t.me/milariatube/1649,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/990630/header.jpg
Пройдённые,IN THE FACADE WE TRUST,Пройдена,8,"Короткий хоррор: «прикольная», сюжет интересный, но показался запутанным; от управления может укачать; ждёт разборов сюжета.",https://t.me/milariatube/1134,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3264050/header.jpg
Пройдённые,Mafia: Definitive Edition,10,Пройдена,"Первая часть — идеальная классика. Сюжет захватывает, атмосфера мафии ощущается во всём. Персонажи яркие, драма мощная, финал трогает. Приятный геймплей без перегруза, всё проходится на одном дыхании. Дон Сальери передаёт привет!","https://t.me/milariatube/1518","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030840/header.jpg"
Пройдённые,Mafia II: Definitive Edition,7,Пройдена,"Вторая часть хороша, но душнее из-за перестрелок. История связана с первой, саундтрек шикарный, Джо — легенда. Много драмы и стекла, но меньше эмоциональной связи с Доном. Плейлист и атмосфера — топ.","https://t.me/milariatube/1518","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030830/header.jpg"
Пройдённые,Mafia: Old Country,5,Пройдена,"Олд кантри отличается атмосферой и романтическим сюжетом. Красивая природа, старые машины, но геймплей душный: сложная боёвка и парирование на ножах. Прохождение стало пыткой, но история и музыка всё же тронули.","https://t.me/milariatube/1518","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/360430/header.jpg"
Пройдённые,Pocket Mirror ~ GoldenerTraum,9,Пройдена,"Очень красивая и запутанная игра с потрясающим музыкальным сопровождением и атмосферой. Персонажи прописаны глубоко, каждый со своей трагедией. Финал — эмоциональный, прошли на хорошую концовку. Оставила сильные впечатления и послевкусие.","https://t.me/milariatube/1347","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1873270/header.jpg"
Пройдённые,Miside,8,Пройдена,"Игра оставила очень положительные эмоции, несмотря на усталость во время прохождения. Атмосфера отличная, персонажи запоминаются — особенно Кепочка, Мила и эмоциональная Мита. Немного не хватило романтики, но проект получился ярким и добрым, с интересными идеями от разработчиков.","https://t.me/milariatube/1051","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2516760/header.jpg"
Пройдённые,Omori,10,Пройдена,"Невероятно трогательная и глубокая игра. Прошли на хорошую концовку, испытали массу эмоций. История Санни и Мари заставила пересмотреть всё происходящее. Концовка поразила и шокировала, атмосфера и сюжет держали до самого конца. Первая игра в таком стиле — и сразу шедевр, 100/10.","https://t.me/milariatube/152","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1150690/header.jpg"
Пройдённые,Danganronpa: Trigger Happy Havoc,8,Пройдена,"Неожиданно глубокая визуальная новелла с сильным сюжетом, множеством поворотов и запоминающимися персонажами. Расследования и суды — самая увлекательная часть, где логика и внимание к деталям решают всё. Атмосфера отчаяния и философия надежды впечатляют. Немного душновато на судах, но общее впечатление — отличное, 8/10.","https://t.me/milariatube/1422","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/413410/header.jpg"

